timestamp,id,from_status,to_status,owner,reason,source
2026-02-25T00:00:00Z,SYSTEM,NA,Ready,system,初始化纯文件跟踪系统,bootstrap
2026-02-25T00:10:00Z,S1-SPLIT,NA,Ready,system,完成S1原子任务拆分并写入backlog与sprint文档,manual
2026-02-25T00:20:00Z,ADMIN-SCOPE,NA,Ready,system,将后台管理系统纳入范围并完成E11与Story映射,manual
2026-02-25T00:30:00Z,S5S6-SPLIT,NA,Ready,system,完成S5和S6后台Story原子任务拆分并写入执行清单,manual
2026-02-26T09:00:00Z,MARKET-RESEARCH,NA,Ready,system,完成雅思商业软件竞品调研并回写PRD与决策记录,manual
2026-02-26T14:47:03Z,TK-1101-01,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:03Z,TK-1101-02,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:03Z,TK-1101-03,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:04Z,TK-1101-04,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:04Z,TK-1101-05,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:04Z,TK-1102-01,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:04Z,TK-1102-02,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:04Z,TK-1102-03,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:04Z,TK-1102-04,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:04Z,TK-1102-05,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:04Z,TK-2101-01,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:04Z,TK-2101-02,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:04Z,TK-2101-03,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:04Z,TK-2101-04,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:04Z,TK-2101-05,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:10Z,US-1101,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:10Z,US-1102,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T14:47:10Z,US-2101,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:08:51Z,US-1103,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:08:51Z,US-1104,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:08:51Z,US-2102,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:08:51Z,US-2103,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:32:21Z,US-3101,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:32:21Z,US-3102,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:32:21Z,US-3103,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:32:21Z,US-4101,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:32:21Z,US-5102,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:32:21Z,US-5101,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:34:24Z,US-3101,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:34:24Z,US-3102,Done,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:34:24Z,US-3103,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:34:24Z,US-5101,Done,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:34:24Z,US-5102,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T15:34:24Z,US-4101,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:11:35Z,US-4102,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:11:35Z,US-4103,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:11:35Z,US-4104,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:11:35Z,US-5103,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:11:35Z,US-6101,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:11:35Z,US-6102,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,US-6103,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,US-7101,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,US-7102,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,US-7103,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,US-8101,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,US-8102,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,US-8103,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,US-11101,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,US-11103,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,TK-11101-01,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,TK-11101-02,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,TK-11101-03,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,TK-11101-04,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,TK-11101-05,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,TK-11103-01,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,TK-11103-02,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,TK-11103-03,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,TK-11103-04,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T16:47:46Z,TK-11103-05,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,US-9101,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,US-9102,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,US-10101,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,US-10102,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,US-11102,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,US-11104,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,TK-11102-01,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,TK-11102-02,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,TK-11102-03,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,TK-11102-04,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,TK-11102-05,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,TK-11104-01,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,TK-11104-02,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,TK-11104-03,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,TK-11104-04,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-26T17:34:47Z,TK-11104-05,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-27T01:34:56Z,US-2104,Ready,Done,codex,status updated via set_status.sh,manual
2026-02-27T13:27:43Z,US-3201,Draft,Done,codex,status updated via set_status.sh,manual
2026-02-27T13:41:40Z,US-4201,Draft,Done,codex,status updated via set_status.sh,manual
2026-02-27T13:51:22Z,US-4202,Draft,Done,codex,status updated via set_status.sh,manual
2026-02-27T14:15:08Z,US-6201,Draft,Done,codex,status updated via set_status.sh,manual
2026-02-27T16:30:42Z,US-8201,Draft,Done,codex,status updated via set_status.sh,manual
2026-02-27T16:49:12Z,US-8202,Draft,Done,codex,status updated via set_status.sh,manual
2026-02-27T17:34:35Z,US-9201,Draft,Done,codex,status updated via set_status.sh,manual
2026-02-28T01:23:18Z,US-9202,Draft,Done,codex,status updated via set_status.sh,manual
2026-02-28T12:04:29Z,US-9203,Draft,Done,codex,status updated via set_status.sh,manual
2026-02-28T12:46:14Z,US-11203,Draft,Ready,codex,status updated via set_status.sh,manual
2026-02-28T12:48:03Z,US-11201,Draft,Ready,codex,status updated via set_status.sh,manual
